英国AB农业有限公司	英美烟草	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	英国AB农业有限公司
Parkson Corp. Sdn Bhd		卅有限公司	I港捷国际货运代理有限公司	斯必克集团	海德思哲国际咨询	史宾沙管理顾问公司	朗讯科技公司	"Gateway Engineers, Inc."	雅斯美特艺术和投资集团公司	传立媒体	天津泰岳玻璃有限公司	尼尔森公司	"	美国戈尔公司"	上海耀华皮尔金顿玻璃股份有限公司	意法半导体公司
Plumento		I生企业有限公司	I港捷国际货运代理有限公司	住友重机械工业株式会社	海德思哲国际咨询	士柏雅市场研究与咨询有限公司	迅流意软件系统	全盛工程管理咨询有限公司	澳星集团	传立媒体	天津塘沽瓦特斯阀门有限公司	尼尔森公司	Walter Sohner GmbH & Co. KG	Shaw Almex Industries	意法半导体公司
QVC Inc.		嬰文化国际	I港捷国际货运代理有限公司	住友重机械工业株式会社	荷尔玛服务有公司	Square Enigma	迅流意软件系统	全盛工程管理咨询有限公司	澳星集团	传立媒体	奥地利老虎粉末涂料制造有限公司	尼尔森公司	活力斯	深圳毅能达智能卡制造有限公司	意法半导体公司
Reckitt Benckiser plc		美货源安防国际有限公司	I港捷国际货运代理有限公司	善能	翰威特咨询	依格德芙集团有限公司	魔力软件	GMP	澳星集团	传立媒体	帝沃力集团	尼尔森公司	活力斯	深圳毅能达智能卡制造有限公司	意法半导体公司
禄泰实业有限公司		I中西联合商务有限公司	I港捷国际货运代理有限公司	新思科技	翰威特咨询	依格德芙集团有限公司	恩赐电脑	GMP	澳星集团	传立媒体	荷兰特恩驰线缆控股公司	尼尔森公司	潍柴控股集团有限公司	深圳毅能达智能卡制造有限公司	意法半导体公司
广声贸易有限公司		ISiveco集团	I港捷国际货运代理有限公司	新思科技	翰威特咨询	施道芬股份公司	敏递软件	GSE Group	澳星集团	传立媒体	大普食品机械制造有限公司	澳大利亚维珍管理有限公司	威戈公司	深圳毅能达智能卡制造有限公司	意法半导体公司
Sears Holdings		SK商事株式会社	I港捷国际货运代理有限公司	新思科技	翰威特咨询	思伟投资顾问（上海）有限公司	美科利	广州穗诚地铁设计顾问有限公司	澳星集团	传立媒体	"I	TOTO Ltd. TOTO Ltd."	美国派拉威影视制作发行公司	"1	WERMA Signaltechnik GmbH + Co. KG WERMA Signaltechnik GmbH + Co. KG"	深圳美乐家家用产品有限公司	十通储存设备
柒和伊控股集团		Skrivanek	I港捷国际货运代理有限公司	TAPROGGE GmbH	翰威特咨询	英国钢材业务咨询	美科利	马龙建筑及机械有限公司	澳星集团	魔力广告	丰田工业(昆山)有限公司	法国新闻社	Wescon Group	沈劳乐器株式会社	StrikoWestofen GmbH
上海安吉黄帽子汽车用品有限公司		Skrivanek	I港捷国际货运代理有限公司	TEKA - Maschinenbau GmbH	HRnet One Ltd.	美国优异公司	微芯科技咨询	马龙建筑及机械有限公司	北京普洛文具有限公司	天荟广告有限公司	丰田产业车辆(上海)有限公司	法国新闻社	韦斯伐里亚	Siegenia-Aubi KG	STRIX Group Ltd.
上海滩		"I SLG Pruef-und 	Zertifizierungs GmbH"	I港捷国际货运代理有限公司	泰克	翰德	美国石桥公司	微芯科技咨询	马龙建筑及机械有限公司	"BiField Business Resources, Ltd."	天荟广告有限公司	达克泰集团	西班牙埃菲通讯社	"Wetherill Associates, Inc."	Siegling GmbH	苏尔寿公司
深圳市国际企业股份有限公司		DSlovenianInstituteofQualityandMetrology(SIQ)斯洛文尼亚质量与计量研究院	I港捷国际货运代理有限公司	泰克	翰德	卓睿企管顾问股份有限公司	微芯科技咨询	韩美派森斯	蓝钟科技咨询有限公司	上海新大陆传播有限公司	特雷通集团	全国报联社	WICOR Holding AG	西格玛电梯	苏尔寿公司
SingleLife DS.		"	Resources, Inc."	I港捷国际货运代理有限公司	泰克	IIC Partners Executive Search Worldwide	策富股份有限公司	微芯科技咨询	赫氏工程（咨询）上海有限公司	bluepool GmbH	纽浦工业产品设计公司	特雷通集团	半岛电视台	德国威汉工具有限公司	西卡集团	苏尔寿公司
史泰博		"	Resources, Inc."	I港捷国际货运代理有限公司	泰克	IIC Partners Executive Search Worldwide	二十一战略集团	美光半导体	喜利得	Bo Yang	Nitro Group	特雷通集团	美国广播公司	I WIKA Alexander Wiegand GmbH & Co. WIKA Alexander Wiegand GmbH & Co.	西卡集团	胜美达集团株式会社
TESCO		I体育世界	美国天虎国际货运有限公司	泰克	杰迈.晶雅人力资源	德国思德力股份公司	微软	喜利得	■ BolognaFiere S.p?A?	诺艾概念展示有限公司	卓德嘉薄膜公司	德国电视一台	威尔顿泵业工程有限公司	西卡集团	住友电气工业株式会社
家得宝		I意大利SSG集团	美国天虎国际货运有限公司	泰克	杰迈.晶雅人力资源	法国思泰达公司	微软	恒隆威建筑设计咨询	博信投资有限公司	"1	Nurun Nurun"	卓德嘉薄膜公司	朝日放送	WILO AG	西卡集团	住友电气工业株式会社
沃尔玛百货有限公司		"	Staufen Akademie I Staufen Akademie"	美国天虎国际货运有限公司	泰克	杰迈.晶雅人力资源	上海诤信咨询有限公司	灵动网络	德国豪赫蒂夫股份公司	BSI Group	奥美集团	全适通	朝日新闻社	Wittmann Kunststoffgerate GmbH	西卡集团	住友电气工业株式会社
挪威17家集团		ISterigenics International Sterigenics International	美国天虎国际货运有限公司	美国德事隆公司	Kelly Services	申尼邦德咨询公司	蒙纳什国际有限公司	胡克科克雷蒙	BSI Group	奥美集团	"I	True TemperSports True TemperSports"	朝日新闻社	Wittmann Kunststoffgerate GmbH	西卡集团	住友电气工业株式会社
阿海那有限公司		nSto AG Sto AG	毅达国际集团	美国德事隆公司	Kienbaum Consultants International	联赞商务咨询（深圳）有限公司	美特尔科技	中标新亚机电工程有限公司	Bureau Veritas	奥美集团	TVS摩托有限公司	亚洲电视有限公司	WMF AG	西卡集团	住友电气工业株式会社
Advance International Inc.		I赛科斯企业有限公司	毅达国际集团	天津德联机床服务有限公司	光辉国际	思坦咨询公司	恩普软件	新昌营造集团有限公司	Bureau Veritas	奥美集团	美国双环公司	亚洲电视有限公司	威科公司	西卡集团	住友电气工业株式会社
吉儿奥宝宝本铺		DSYMA-System SYMA-System	Il亚利国际货运	特罗蒙德工业设备有限公司	光辉国际	瑞士中心	MRO软件公司	安诚工程顾问有限公司	Bureau Veritas	奥美集团	Tyrolit	美联社	伍德沃德	格宁斯集团	住友电气工业株式会社
Alfatec		DSYMA-System SYMA-System	1华力环球运输有限公司	特罗蒙德工业设备有限公司	卓业顾问有限公司	TACK International	MRO软件公司	安诚工程顾问有限公司	Bureau Veritas	浩腾媒体	英国特美克国际集团有限公司	美联社	伍德沃德	格宁斯集团	住友电气工业株式会社
泛龙集团有限公司		新昌管理服务有限公司	I安吉天地汽车物流有限公司	Trelleborg AB	卓业顾问有限公司	Teamswork	美国N.E.T.	法国Jobin	Bureau Veritas	浩腾媒体	宇部兴产株式会社	澳大利亚广播公司	伍德沃德	Singer Sewing Co.	住友电气工业株式会社
安芳迪服装贸易有限公司		新昌管理服务有限公司	澳航货运代理有限公司	德国特乐斯特有限责任公司	络风人力资源发展有限公司	Tectura公司	NCR Ltd.	法国Jobin	Bureau Veritas	浩腾媒体	宇部兴产株式会社	澳大利亚金融评论	无锡爱锡量仪有限公司	瑞士单浮筒系泊公司	住友电气工业株式会社
Asia Beyond Border Ltd. (ABB)		□ TUV NORD AG TUV NORD AG	澳航货运代理有限公司	通快集团	北京首要资源商务咨询有限公司	日本电话市场营销公司	网域存储技术	约翰波特曼建筑设计事务所	Bureau Veritas	宏盟集团	内山工业株式会社	AXN亚洲	信义玻璃控股有限公司	圣度	住友电气工业株式会社
迦米贸易(上海)有限公司		□ TUV NORD AG TUV NORD AG	澳航货运代理有限公司	通快集团	北京首要资源商务咨询有限公司	德玛斯意大利有限公司	新世界数码基地有限公司	Josef Gartner GmbH	Bureau Veritas	宏盟集团	韩国神马工业缝纫设备有限公司	Bauer Publishing Group	信义玻璃控股有限公司	Sipa S.p?3?	住友电气工业株式会社
美商智迈企业		泰科尼亚科技园有限公司	澳航货运代理有限公司	Ultra Clean Technology	万宝盛华	安立国际	新世界数码基地有限公司	嘉华建材有限公司	"C&C Reservoirs, Inc."	欧芙特	奇耐有限公司	英国广播公司	雅马哈株式会社	意乐集团	住友电气工业株式会社
ATMI		I美国机械制造技术协会	澳航货运代理有限公司	爱发科集团	万宝盛华	扬特品牌同盟	北鹰科技有限公司	KAJIMA CORP.	香港中信资讯有限公司	敖特集团	联塑集团	英国广播公司	燕帝皮革制品有限公司	西德科座椅技术有限公司	住友电气工业株式会社
AUMUND Machinery Trading Ltd.		I美国机械制造技术协会	澳航货运代理有限公司	德国欧鹏公司	万宝盛华	中国商务集团	甲骨文	关东建设工业	华汉国际会议展览（上海）有限公司	敖特集团	优力精密工程有限公司	英国天空广播公司	长飞光纤光缆有限公司	Siteco Beleuchtungstechnik GmbH	住友电气工业株式会社
欧升国际有限公司		I美国机械制造技术协会	澳航货运代理有限公司	Valtra Inc.	万宝盛华	杰尔杰集团	甲骨文	Kellogg Brown & Root - KBR	中国金茂（集团）股份有限公司	敖特集团	环球乐器	加拿大广播公司	易特斯	Siteco Beleuchtungstechnik GmbH	住友电气工业株式会社
安施国际贸易有限公司		I美国机械制造技术协会	澳航货运代理有限公司	菲斯曼供热技术有限公司	万宝盛华	杰尔杰集团	甲骨文	Kryton International Inc.	中国专利代理(香港)有限公司	敖特集团	优耐公司	CCH	宜兴华都琥珀环保机械制造有限公司	Sleepmaster	住友电气工业株式会社
博马努瓦集团		I杰而杰集团	%柏莱	Vollmer Werke Maschinenfabrik GmbH	万宝盛华	The PAC Group	奥睿星信息技术	Kvaerner ASA	中国专利代理(香港)有限公司	敖特集团	芬欧汇川集团	香港中询有限公司	吉田集团	司麦特精密陶瓷科技	住友电气工业株式会社
北京韩山李商贸有限公司		迈腾奖励咨询有限公司	北欧国际货运有限公司	渡边食品机械株式会社	万宝盛华	得为投资咨询有限公司	亚开资讯有限公司	Kvaerner ASA	中国专利代理(香港)有限公司	敖特集团	芬欧汇川集团	香港中询有限公司	吉田集团	Smith Fibercast	住友电气工业株式会社
香港拔萃工程有限公司		Thebigword Group	北欧国际货运有限公司	威力集团	万宝盛华	托马斯国际	太平洋数码广场	Larsen & Toubro Ltd.	集宝中国有限公司	博立信广告公关	芬欧汇川集团	载闻集团	吉田集团	Southco	赛晶电力电子集团有限公司
比克		Thebigword Group	北欧国际货运有限公司	伟尔沃曼	万宝盛华	托马斯国际	太平洋数码广场	礼顿控股有限公司	集宝中国有限公司	博立信广告公关	芬欧汇川集团	童趣出版有限公司	吉田集团	Southco	Superior Radiant Products
Bridge Shine Industrial		"	TIC集团"	北欧国际货运有限公司	威尔特集团	万宝盛华	韬睿咨询公司	太平洋数码广场	美国洛务林工程	集宝中国有限公司	博立信广告公关	芬欧汇川集团	China Briefing Media Ltd.	吉田集团	Southco	Supply Technologies LLC
得利新科技有限公司		瑞士瑞泽集团公司	北欧国际货运有限公司	Yale Industrial Products GmbH	米高蒲志	腾达	参数技术	美施威尔有限公司	法国城市照明管理集团	柏利盛集团	芬欧汇川集团	CBF中国经贸聚焦	英昌乐器制造株式会社	意大利索维玛公司	SWARCO AG
布鲁吉		卓达集团	北欧国际货运有限公司	亚泰数控机械制造有限公司	Mindsight	卓佳专业商务有限公司	参数技术	前田建设工业	CJB-China Ltd.	PG设计和品牌咨询公司	芬欧汇川集团	中国计算机世界出版服务公司	上海伊通有限公司	思百吉集团	SyChip Inc.
邦基		I德国莱茵TuV集团	北欧国际货运有限公司	益阳益神橡胶机械有限公司	美普氏	卓佳专业商务有限公司	参数技术	玛格巴	Claudius Peters Group GmbH	"I	PMG PMG"	芬欧汇川集团	中国计算机世界出版服务公司	上海伊通有限公司	思百吉集团	德国新帕泰克有限公司
施德洋行		TUV南德意志集团	北欧国际货运有限公司	煜达机械有限公司	人合人力资源管理有限公司	卓佳专业商务有限公司	参数技术	摩根工程公司	CLS Communication AG	凌霸广告国际有限公司	芬欧汇川集团	中国计算机世界出版服务公司	玉环佳仕阀门有限公司	思百吉集团	联强国际集团
美最时洋行		TUV南德意志集团	北欧国际货运有限公司	中山家力克工业有限公司	Odgers Ray & Berndtson	迪迪艾	参数技术	恩比建	中华厂商联合会工业发展基金有限公司(厂商会检定中心)	日本普乐普公关公司	Upofloor Oy	中国计算机世界出版服务公司	赛沃纳如集团	英泰石膏有限公司	美国泰创股份有限公司
加拿大卡西亚国际有限公司		"DUKChina-ConnectCo.,Ltd.-UKCC英国中国联络有限公司"	北欧国际货运有限公司	德国卓轮集团	美国人事决策国际公司	UKEAS Group	电讯盈科	NRS AS	亚洲博闻有限公司	日本普乐普公关公司	I Vanguard Composite Engineering Pte? Ltd? Vanguard Composite Engineering Pte? Ltd?	中国计算机世界出版服务公司	桑巴蒂集团	胜斐迩集团	台湾仪控股份有限公司
凯乐玩具		I美国安全检测实验室公司	北欧国际货运有限公司	奥斯龙公司	Pro Interlink Resources	欧盛咨询	电讯盈科	大林组株式会社	Comite France Chine	阳狮集团	VBH Holding AG	中国计算机世界出版服务公司	扎克(青岛)船用锅炉有限公司	斯大锅炉有限公司	台湾堃霖冷冻机械股份有限公司
美国中国贸易协会有限公司		UNIBAIL	瑞士理运	奥斯龙公司	汇华企业管理咨询（香港）有限公司	友联投资咨询有限公司	电讯盈科	大林组株式会社	CRU Group	阳狮集团	维卡集团	中国计算机世界出版服务公司	浙江伊思灵双第弹簧有限公司	"Steinway Musical Instruments, Inc?"	台湾台积电制造股份有限公司
中国通逸		I UNIPLAN International H GmbH & Co. KG	瑞士理运	奥斯龙公司	普利斯	尤尼森公司	美国凤凰科技	大林组株式会社	CS Total	阳狮集团	威卢克斯集团	中影动画产业有限公司	日阳包装实业股份有限公司	斯蒂尔集团	特斯艾电子有限公司
英属维尔京群岛中国出口合作伙伴有限公司		万耀	瑞士理运	阿尔法三迪集团	任仕达	尤尼沃斯	美国凤凰科技	ORGAtec Associates	CSM媒介研究	阳狮集团	■ Veneta Cucine	中国国际文化出版社	安博起重设备有限公司	STRIX Group Ltd.	东莞德思奥电子有限公司
华源制造有限公司		美国VWR公司	瑞士理运	美国欧柏集团	任仕达	万佳管理培训有限公司	烽腾科技	栢诚公司	CSM媒介研究	阳狮集团	Vesuvius Group S.A. / N?V?	中国电力环保	爱克奇集团	新大洲控股股份有限公司	TCM International Tool Consulting & Management GmbH
香港南中(集团)有限公司		智勤集团	瑞士理运	ARDEX GmbH	任仕达	URS Corporation	美国平达系统公司	栢诚公司	CSM媒介研究	阳狮集团	Vesuvius Group S.A. / N?V?	基督教科学箴言报	爱科集团	Sunham Home Fashions	"TCP, Inc."
中国赛威		智勤集团	瑞士理运	雅龙电子材料有限公司	任仕达	URS Corporation	铂金（中国）有限公司	栢诚公司	CSM媒介研究	阳狮集团	Vesuvius Group S.A. / N?V?	美国有线电视新闻国际公司	阿尔弗雷德?凯驰有限公司	Sunningdale Tech Ltd.	丰田工业电装空调压缩机（昆山）有限公司
Chomatotec		□ WordHouse Localisation bv WordHouse Localisation bv	"Ausway International Freight Co., Ltd? Ausway International Freight Co., Ltd."	Armacell International GmbH	Robert Walters	盛宝纳科技咨询（北京）有限公司	铂金（中国）有限公司	栢诚公司	CTR市场研究	阳狮集团	"I Victor Company of Japan, Ltd. Victor Company of Japan, Ltd."	加拿大电视网有限公司	阿尔弗雷德?凯驰有限公司	Supreme Corp?	泰科电子
Christakis Giolitis & Son Ltd.		□有限公司	"Ausway International Freight Co., Ltd? Ausway International Freight Co., Ltd."	阿尔莫集团	罗乐仕信息咨询服务	Valtus	铂金（中国）有限公司	栢诚公司	CTR市场研究	PubliGroupe Ltd.	"1	Vigor Group Vigor Group"	明镜周刊	欧登多	大中塑料制品有限公司	泰科电子
库肯集团有限公司		I法国博智过渡合伙人公司	"Ausway International Freight Co., Ltd? Ausway International Freight Co., Ltd."	Arnold Magnetics Technologies Corp.	仕聚国际商务	威普集团	乔鼎计算机科技有限公司	"Peridian International, Inc?"	CTR市场研究	PubliGroupe Ltd.	菲林格尔	道琼斯公司	美国奥创工业传动控制有限公司	宿迁特力工具制造有限公司	泰科电子
泰纳公司		有限公司	"Ausway International Freight Co., Ltd? Ausway International Freight Co., Ltd."	北京华都化工建材集团	SearchBank Ltd.	卫卫阿尔咨询服务有限公司	美国QAD公司	Pflaum & Sohne Bausysteme GmbH	CTR市场研究	普佳	Roll瑞士有限公司	道琼斯公司	安迈集团公司	施华法斯	泰科电子
大宇国际集团		A.S.K.控股有限公司	I保昌集团	Caparol Group	SearchBank Ltd.	华信惠悦咨询	Rad Data Communications	PTW Architects	挪威船级社	Razorfish	德国伏尔康公司	道琼斯公司	安德里兹	施华洛世奇集团	泰科电子
大昌贸易行有限公司		Action Park	I保昌集团	卡莱尔防水材料有限公司	SES Investment Ltd.	博园管理咨询公司	美国世博	PTW Architects	挪威船级社	Razorfish	瓦锡兰集团公司	道琼斯公司	安德里兹	太古集团	泰科电子
DELTA-SPORT		阿克克瓦纳	I保昌集团	CENTRIA	环智集团	Wellbe	思爱普软件系统	美国RTKL国际	挪威船级社	瑞影图文设计（上海）有限公司	瓦锡兰集团公司	道琼斯公司	APY-lnternational Maschinenhandel GmbH	太古集团	泰科电子
大昌华嘉管理有限公司		阿克克瓦纳	I保昌集团	康宁公司	环智集团	五合国际	思爱普软件系统	S2F	挪威船级社	罗德公共关系顾问公司	瓦锡兰集团公司	道琼斯公司	ARBURG GmbH + Co. KG	太古集团	泰科电子
上海伟森贸易有限公司		AJ+C建筑设计集团	I保昌集团	康宁公司	ASK集团	威内源企业管理咨询	思爱普软件系统	赛班公司	挪威船级社	罗德公共关系顾问公司	瓦锡兰集团公司	英皇娱乐集团有限公司	ARBURG GmbH + Co. KG	Synder Filtration	泰科电子
仪仪元件		AJ+C建筑设计集团	奔达	康宁公司	ASK集团	Willsonn Partners	思爱普软件系统	德国旭格国际集团	挪威船级社	罗德公共关系顾问公司	瓦锡兰集团公司	英皇娱乐集团有限公司	■ ARC Pacific Limited	信赛思公司	泰科电子
维昌洋行		I有限公司	BDP International	康宁公司	艾步昂猎头公司	维新企业管理顾问有限公司	赛仕软件	斯帕姆专家有限公司	挪威船级社	盛世长城国际广告有限公司	瓦锡兰集团公司	美国娱乐体育节目公司	"1	Arenco AB Arenco AB"	天仕水暖材料有限公司	泰科电子
艾德士公司		I有限公司	BDP International	康宁公司	欧洲阿达姆斯联合律师事务所	维新企业管理顾问有限公司	赛仕软件	深圳宝恒诚电气设备工程公司	挪威船级社	盛世长城国际广告有限公司	瓦锡兰集团公司	欧洲新闻图片社	德国阿库机械制造有限公司	泰州魏德曼高压绝缘有限公司	泰科电子
江守商事株式会社		AMA Group I AMA Group	BDP International	康宁公司	欧洲阿达姆斯联合律师事务所	务腾（香港）有限公司	赛仕软件	清水建设	挪威船级社	盛世长城国际广告有限公司	美国戈尔公司	英国金融时报集团	阿特拉斯?科普柯集团	达美公司	泰科电子
EPG		"	AMEC Natural Resoures I AMEC Natural Resoures"	BDP International	康宁公司	欧洲阿达姆斯联合律师事务所	WTS AG	萨蒂扬软件技术有限公司	英国中国基建合作有限公司	Deutsche Messe AG	上海博报堂广告有限公司	美国戈尔公司	福布斯	阿特拉斯?科普柯集团	德国特瑞德电气股份公司	泰科电子
森鱼(厦门)进出口有限公司		"	AMEC Natural Resoures I AMEC Natural Resoures"	BDP International	康宁公司	瑞典维格律师事务所	XinCon AS	萨蒂扬软件技术有限公司	英国中国基建合作有限公司	Deutsche Messe AG	上海杰创广告有限公司	美国戈尔公司	财富（中文版）	阿特拉斯?科普柯集团	TCS Japan	泰科电子
Eurofinsa Group		I美国建筑公司	I北京空港配餐有限公司	康宁公司	艾金·岗波律师事务所	正德长信投资咨询（北京）有限公司	瑞士夏弗纳	建筑师事务所	Deutsche Messe AG	上海灵狮广告有限公司	美国戈尔公司	财富（中文版）	阿特拉斯?科普柯集团	"	泰克国际"	得兴工业技术
法尔卡		Ansaldo Sistemi Industriali	I有限公司	CRH plc	AkléA Avocats	财嘉投资信息管理咨询公司	瑞士夏弗纳	SNC兰万灵国际有限公司	德迈国际有限公司	上海灵狮广告有限公司	Walter Sohner GmbH & Co. KG	"	法国电视公司"	阿特拉斯?科普柯集团	Technoform Bautec Kunststoffprodukte GmbH	钛科玛(北京)工业科技有限公司
Fargo Group		I澳洲TMG建筑设计集团	I有限公司	西塞尔	林、任、白律师行	周华咨询（北京）有限公司	瑞士夏弗纳	SNC兰万灵国际有限公司	杜比实验室	唯准国际有限公司	活力斯	日本富士电视网络公司	ATOM S?P?A?	Technoform Bautec Kunststoffprodukte GmbH	法国泰克公司
FB Solution		DAREP Ville AREP Ville	北京首都国际机场股份有限公司	德士达建材有限公司	安理国际律师事务所	前程无忧	瑞士夏弗纳	澳大利亚事百世有限公司	美国德富竞标有限公司	星传媒体	活力斯	丰彩传媒集团	Aurilis Group	Technoform Bautec Kunststoffprodukte GmbH	Teleplan International
费比贸易		奥雅纳工程顾问	北京华商国际物流有限公司	德瑞克斯集团	安理国际律师事务所	汇华英才	思高软件	澳大利亚事百世有限公司	龙源	星传媒体	潍柴动力股份有限公司	丰彩传媒集团	德国宝峨集团	泰诺健	泰来斯特
Ferm B.V.		奥雅纳工程顾问	创业国际物流有限公司	丹麦家乐事集团公司	安德慎律师事务所	Adecco	信客网络咨询	澳大利亚事百世有限公司	"Droege & Comp, GmbH"	星传媒体	威戈公司	Gala Media Group	德国宝峨集团	Teleconsa AG	泰来斯特
高钿有限公司		奥雅纳工程顾问	创业国际物流有限公司	埃泰集团	安德慎律师事务所	Adecco	Siebel系统	三井住友建设株式会社	e-way europe ApS	"1	TBWA TBWA"	"1	WERMA Signaltechnik GmbH + Co. KG WERMA Signaltechnik GmbH + Co. KG"	德国新闻社	北京现代京城工程机械有限公司	腾普精机有限公司	美国泰乐国际
First Meridian Group		I美国邦纳工程公司	创业国际物流有限公司	法国爱托福公司	王培芬律师事务所	爱德马克国际调研有限公司	美国西蒙公司	西班牙TR联合技术公司	瑞源国际公司	"1	TBWA TBWA"	"1	Wescon Group Wescon Group"	美国尼克斯太平洋有限公司	北京天海工业有限公司	TENTE International GmbH	东京电子有限公司
菲仕乐贸易		"	Batiment International"	创业国际物流有限公司	福禄公司	阿姆斯壮-蒂斯岱尔律师事务所	安拓公司	美国西蒙公司	德胜洋楼	美国克劳斯公司	"1	TBWA TBWA"	韦斯伐里亚	光明日报报业集团	北仑福托机械工具有限公司	Texon International Group Ltd.	永鑫科技
富文贸易有限公司		"	Batiment International"	创业国际物流有限公司	Fletcher Building Ltd.	澳大利亚奥商诺律师事务所	"Automatic Data Processing, Inc."	美国西蒙公司	"The	Renishaw Group"	ECS-TC	"1	TBWA TBWA"	"Wetherill Associates, Inc."	法国桦榭菲力柏契出版社	BERNT LORENTZ GmbH & Co. KG	英国JMH集团	美国坦能公司
福尔波地板		nBeca Beca	德国布鲁格船务有限公司	福尔波地材公司	美国贝克·丹尼尔斯律师事务所	Boyden World Corp.	国际航空电讯集团	Uhde GmbH	EMOO.Net	"1	TBWA TBWA"	WICOR Holding AG	法国桦榭菲力柏契出版社	I BEUMER Maschinenfabrik GmbH & Co. KG BEUMER Maschinenfabrik GmbH & Co. KG	The Montalvo Corporation	TENOVA
德国弗朗兹·哈尼尔有限公司		I柏克德公司	德国布鲁格船务有限公司	Hawk Corp.	贝克·麦坚时国际律师事务所	Boyden World Corp.	思博公司	美联钢结构建筑系统(上海)有限公司	亿讯集团	Text 100 Public Relations Consultancy	I WIKA Alexander Wiegand GmbH & Co. WIKA Alexander Wiegand GmbH & Co.	法国桦榭菲力柏契出版社	BHS Corrugated Maschinen - und Anlagenbau GmbH	英国摩根堆竭集团	Teradyne Inc.
卓越德宝		I柏克德公司	边行船务	瑞士豪西盟集团	贝克·麦坚时国际律师事务所	睿特管理顾问有限公司	思博公司	美联钢结构建筑系统(上海)有限公司	亿讯集团	Text 100 Public Relations Consultancy	威尔顿泵业工程有限公司	法国桦榭菲力柏契出版社	BHS Corrugated Maschinen - und Anlagenbau GmbH	美国史丹利公司	日本株式会社寺冈精工
GANTER INTERIOR		I北京阿科普机电工程I有限公司	边行船务	瑞士豪西盟集团	美国贝克博茨律师事务所	睿特管理顾问有限公司	思博公司	美联钢结构建筑系统(上海)有限公司	亿讯集团	I The Gate Worldwide The Gate Worldwide	WILO AG	法国桦榭菲力柏契出版社	巴哈斯■桑索霍芬机械有限公司	美国史丹利公司	日本株式会社寺冈精工
嘉慧仪技术咨询(天津)有限公司		德国贝尔芬格伯格公司	边行船务	邱博公司	英国博礼祈律师事务所	香港伯乐管理顾问有限公司	思博公司	URBIS International Ltd.	中欧公司集团	霍夫曼公关顾问	Wittmann Kunststoffgerate GmbH	法国桦榭菲力柏契出版社	宝马格	美国赛盟	寺崎电气产业株式会社
美国GED国际有限公司		I博莱克?威奇控股公司	边行船务	邱博公司	Rechtsanwaltsgesellschaft mbH	科锐国际人力资源	视宝卫星图像	URBIS International Ltd.	厦门易安特技术顾问有限公司	霍夫曼公关顾问	Wittmann Kunststoffgerate GmbH	哈佛商学院出版社	德国布伦瑞克阻火器有限公司	美国赛盟	特雷克斯公司
加拿大九龙国际公司		I博莱克?威奇控股公司	边行船务	Koemmerling Kunststoffwerke GmbH	Rechtsanwaltsgesellschaft mbH	"CDP Group, Ltd."	上海翼韵企业咨询服务有限公司	URBIS International Ltd.	欧罗高检验公司	日新传播集团	WMF AG	汉威士集团	日本兄弟工业株式会社	德国蒂森克虏伯集团技术公司	德碧家热泵公司
"Grainger, Inc."		I荷兰宝斯卡利斯	边行船务	拉法基集团	法国百能律师事务所	中华英才网	上海翼韵企业咨询服务有限公司	Vinci Construction	Evans	TOM集团	"I	Woco Michelin AVS B?V? Woco Michelin AVS B?V?"	汉威士集团	日本兄弟工业株式会社	德国蒂森克虏伯集团技术公司	德图集团
GreyStar		QBovisLendLease宝维士联盛	边行船务	拉法基集团	鸿鹄律师事务所	欧信英才	STAR	华盛顿国际集团	美国尤因管理集团	TOM集团	威科公司	光速制片	Brueckner Technology Holding GmbH	德国蒂森克虏伯集团技术公司	德州仪器半导体技术公司
GS 国际		QBovisLendLease宝维士联盛	边行船务	拉法基集团	博雷道盛国际律师事物所	欧信英才	STAR	约克国际(北亚)有限公司	世健科技有限公司	TOM集团	伍德沃德	北海道新闻社	德国博格曼工业有限公司	德国蒂森克虏伯集团技术公司	德州仪器半导体技术公司
极特太阳能设备贸易(上海)有限公司		I阿普特拉集团	边行船务	拉法基集团	布雷克律师事务所	欧信英才	美国星运网络公司	约克国际(北亚)有限公司	世健科技有限公司	TOM集团	伍德沃德	鸿鹰世界股份有限公司	德国博格曼工业有限公司	德国蒂森克虏伯集团技术公司	德州仪器半导体技术公司
汉纳德公司		John MEI CBP IcBP	边行船务	拉法基集团	世泽律师事务所	康赛亚	［四通公司	约克国际(北亚)有限公司	毅博公司	TOM集团	伍德沃德	胡润百富	百超	德国蒂森克虏伯集团技术公司	泰雷兹公司
海格曼		西图集团	边行船务	拉法基集团	Bryan Cave LLP	康萨特集团	美国存储科技国际有限公司	约克国际(北亚)有限公司	爱博展览集团	TOM集团	无锡爱锡量仪有限公司	香港有线宽频通讯有限公司	百超	德国蒂森克虏伯集团技术公司	泰雷兹公司
